region,year,mean_coral_cover,n_reefs
Northern,1993,25.48,45
Northern,1994,24.57,50
Northern,1995,24.64,59
Northern,1996,25.05,59
Northern,1997,22.37,32
Northern,1998,24.33,66
Northern,1999,22.07,49
Northern,2000,21.87,55
Northern,2001,22.51,42
Northern,2002,20.57,56
Northern,2003,21.1,40
Northern,2004,19.44,50
Northern,2005,22.84,52
Northern,2006,16.76,53
Northern,2007,17.18,60
Northern,2008,15.31,24
Northern,2009,21.17,44
Northern,2010,22.24,42
Northern,2011,23.94,21
Northern,2012,10.9,14
Northern,2013,23.58,59
Northern,2014,14.51,7
Northern,2015,16.68,43
Northern,2016,20.78,15
Northern,2017,19.71,50
Northern,2018,8.21,12
Northern,2019,16.84,43
Northern,2020,18.23,47
Northern,2021,26.18,75
Northern,2022,35.46,37
Northern,2023,33.33,57
Central,1993,24.83,24
Central,1994,26.67,24
Central,1995,25.73,29
Central,1996,25.79,33
Central,1997,22.43,30
Central,1998,27.14,31
Central,1999,23.92,32
Central,2000,23.18,32
Central,2001,20.9,38
Central,2002,22.5,48
Central,2003,18.8,47
Central,2004,24.41,28
Central,2005,23.13,30
Central,2006,23.45,26
Central,2007,19.58,28
Central,2008,22.93,22
Central,2009,15.26,14
Central,2010,16.26,24
Central,2011,7.75,18
Central,2012,11.69,18
Central,2013,11.38,22
Central,2014,14.75,21
Central,2015,19.42,22
Central,2016,21.96,18
Central,2017,24.76,22
Central,2018,20.86,21
Central,2019,21.46,11
Central,2020,25.57,23
Central,2021,30.2,35
Central,2022,36.21,31
Central,2023,34.95,38
Southern,1993,29.65,13
Southern,1994,25.62,13
Southern,1995,26.64,15
Southern,1996,32.61,18
Southern,1997,28.19,12
Southern,1998,30.32,11
Southern,1999,34.15,11
Southern,2000,35.05,11
Southern,2001,31.78,11
Southern,2002,30.46,11
Southern,2003,27.97,11
Southern,2004,25.18,11
Southern,2005,31.18,17
Southern,2006,28.21,25
Southern,2007,27.51,10
Southern,2008,25.02,22
Southern,2009,22.83,11
Southern,2010,13.95,21
Southern,2011,13.04,10
Southern,2012,16.03,19
Southern,2013,17.87,11
Southern,2014,24.52,20
Southern,2015,27.98,9
Southern,2016,34.27,19
Southern,2017,42.78,11
Southern,2018,35.92,17
Southern,2019,31.93,10
Southern,2020,34.02,16
Southern,2021,42.48,17
Southern,2022,34.24,19
Southern,2023,35.27,16